81626	11894
81626	16246
81626	16322
81626	18914
81626	19729
81626	29574
81626	33045
81626	47998
81626	49453
81626	52148
81626	53171
81626	57478
81626	58947
81626	65889
81626	69807
81626	71241
81626	71586
81626	73498
81626	74989
81626	77976
81626	82175
81626	82686
81626	83197
81626	86550
81626	87044
81626	90037
81626	91476
81626	93858
81626	96866
81626	100206
81626	104817
81626	104841
81626	105429
81626	106876
81626	107009
81626	107254
104841	94
104841	14598
104841	16246
104841	45089
104841	45620
104841	46269
104841	46745
104841	57427
104841	59913
104841	62327
104841	67665
104841	77976
104841	81626
104841	93928
104841	95053
104841	104056
4750	209
4750	1631
4750	1895
4750	5087
4750	5489
4750	6088
4750	8536
4750	9412
4750	10099
4750	11699
4750	23802
4750	32021
4750	34036
4750	36397
4750	38677
4750	46144
4750	49824
4750	49895
4750	50279
4750	51800
4750	52287
4750	57702
4750	58255
4750	59122
4750	60010
4750	63527
4750	64131
4750	64164
4750	64623
4750	66863
4750	67236
4750	70050
4750	70665
4750	72119
4750	74174
4750	78851
4750	80341
4750	82037
4750	82247
4750	83259
4750	83562
4750	83824
4750	85287
4750	88584
4750	88748
4750	89659
4750	89766
4750	92915
4750	95372
4750	95641
4750	96901
4750	101244
4750	104422
4750	105341
4750	105877
4750	107534
209	1631
209	4750
209	7930
209	14502
209	20850
209	44858
209	46269
209	49453
209	52169
209	62552
209	82995
209	83824
209	85287
209	98707
209	105046
19136	1265
19136	44830
19136	46918
19136	60397
19136	61080
19136	79490
44830	19136
44830	46918
44830	60397
44830	61080
60397	7471
60397	19136
60397	19503
60397	24345
60397	44830
60397	46918
60397	47236
60397	48536
60397	61080
20831	15263
20831	47678
20831	51555
20831	86311
20831	91211
47678	7900
47678	14074
47678	14609
47678	17522
47678	20831
47678	23175
47678	25430
47678	31712
47678	32276
47678	48647
47678	55364
47678	64715
47678	67225
47678	86311
47678	90234
47678	93492
47678	94402
47678	97347
86311	7684
86311	15263
86311	20831
86311	32523
86311	40938
86311	47678
86311	57501
86311	88238
86311	89961
86311	95669
86311	102756
86311	106359
28406	14907
28406	41460
28406	77232
28406	77574
28406	94464
41460	28406
41460	45384
41460	77574
77574	7978
77574	15720
77574	22195
77574	28406
77574	29867
77574	40976
77574	41460
77574	51250
77574	63145
77574	73447
77574	86381
43456	8924
